Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC00996	2614.8579999999997	1912.2520000000002	1933.215	2451.328	117.0445	163.7445
LINC00997	1254.21	734.503	781.725	742.508	256.3	303.617
LINC00998	2483.90132	4889.14276	3286.1349	5454.70418	1648.01011	1735.6992899999998
LINC01001	620.2659	813.5481	473.54400000000004	653.4608	173.0184	205.0681
LINC01002	688.51419	900.1139999999999	396.67362	517.2190099999999	163.58581999999998	175.15452
LINC01003	1070.26	847.01	387.01	331.01	237.313	316.825
LINC01004	159.9948	100.1259	38.2064	87.2224	6.02	11.25122
LINC01006	154.03	343.03	135.03	199.0201	282.985	360.2166
LINC01011	798.0227	566.5709	99.9381	80.71115999999999	16.9992	20.4213
LINC01012	109.0314	167.12108999999998	32.25785	33.99757	12.78351	12.97995
LINC01013	3.24349	15.922139999999999	7.63938	15.8354	2.03611	6.02187
LINC01016	314.20051	437.18435	23.0469	32.7974	5.58974	9.93673
LINC01018	1.01576	3.0495400000000004	140.4309	151.0455	51.2147	61.2147
LINC01021	2737.7754	2612.1888	15.800289999999999	12.314919999999999	4.02	2.05292
LINC01023	25.01	10.01	49.01	5.01	1.01	6.01
LINC01024	450.9081	420.09717	522.6575799999999	399.7785	69.96455999999999	66.5874
LINC01035	9.6021	11.6259	10.8009	9.26861	3.92867	4.08533
LINC01047	9.21755	12.4034	27.446270000000002	17.4878	4.301480000000001	1.14543
LINC01055	5.52948	14.4155	430.87300000000005	985.193	408.13300000000004	397.97900000000004
LINC01057	135.5588	92.8158	19.16581	18.30271	6.06257	16.12167
LINC01063	83.9444	61.8838	52.01	52.01	5.01	6.01
LINC01067	117.15799999999999	124.087	87.4925	103.055	8.32611	9.88149
LINC01087	481.208	478.48699999999997	47.4098	49.3614	7.28633	16.233
LINC01088	196.90543	304.36942999999997	81.20328	94.8963	27.25887	30.5049
LINC01089	885.0785300000001	728.1261599999999	300.77187000000004	234.40533	141.52335	120.91554
LINC01090	19.10944	15.6371	7.230119999999999	6.779910000000001	3.30115	4.1352
LINC01091	54.7095	46.6473	22.592	20.3558	9.73344	11.1546
LINC01094	105.9481	167.04417	35.931999999999995	57.9519	1.01	2.0272799999999997
LINC01102	26.646	21.085	6.6642399999999995	22.0014	8.142710000000001	3.0388
LINC01104	18.0274	37.6327	21.9784	15.6759	6.99258	5.12688
LINC01108	100.02	65.85167	3.12928	4.01	1.01	3.01
LINC01116	18.8067	295.4522	19.02595	112.3475	80.6522	55.681999999999995
LINC01117	6.01	33.4418	2.01	3.13432	26.9459	10.5665
LINC01118	9.46314	6.063969999999999	1.02488	3.1254	3.02006	8.20304
LINC01119	6.01	120.04222	1.01	23.12274	2.01	6.01
LINC01121	4.06024	27.0991	29.1704	21.3495	2.10228	6.0608900000000006
LINC01122	27.39487	28.9787	9.99996	17.2766	8.17271	8.31392
LINC01124	15.01	34.5197	14.4827	2.01	2.01	3.01
LINC01125	393.22534	314.80794	135.8748	130.85856	47.31033	62.85445
LINC01126	166.845	90.3764	19.2074	20.0213	2.01	2.01
LINC01127	3.06182	15.5032	3.05381	7.06239	2.15869	3.35586
LINC01128	2870.13112	3129.73733	1592.53085	2224.7119	578.6204799999999	576.019
LINC01133	36.3515	43.9276	19.883470000000003	26.04025	2.26795	3.95095
LINC01134	321.6677	148.2397	442.7263	221.0231	18.166520000000002	24.1819
